Episode,Return
1,-442.64261149618915
2,-471.9115639978377
3,-448.3231388171536
4,-470.758251739632
5,-473.7221696400061
6,-463.4904874293379
7,-448.8387144744071
8,-474.49780295699924
9,-483.7618401928601
10,-503.877511486345
11,-523.9444296879889
12,-518.7909302542022
13,-677.0983667782699
14,-488.665263179672
15,-607.5762065273016
16,-508.8967402224198
17,-527.3432787480123
18,-492.7418920541719
19,-584.2904536924574
20,-517.7549540928513
21,-2.9894296036167134
22,-844.5991620735065
23,-843.8977649445133
24,-448.61848773087866
25,-415.09169800147976
26,-723.5809756198655
27,-520.3979263108806
28,-471.12590258814276
29,-693.943181545982
30,-694.5523717668514
31,-713.1435200490789
32,-591.0719332311062
33,-643.7447931554241
34,2.4949504591039613
35,-741.6837051922946
36,-420.5406837766342
37,-617.1274076688139
38,-544.1400261729608
39,-591.4012527235739
40,-425.2865912733751
41,-403.65704120417246
42,-517.3616468901805
43,-683.5773477289911
44,-449.7798276840852
45,-698.149003004158
46,-576.37338665353
47,-905.9421075269972
48,-734.1641115890234
49,-595.7713592035898
50,-395.71853423307823
51,-803.6248622824677
52,-691.8267467489131
53,-462.7647236983099
54,-569.9252621353774
55,-24.80408925548852
56,-574.4073597038766
57,-27.83739161036374
58,-7.778018298315544
59,-510.81673479759866
60,-435.55917214356685
61,-538.0423208426314
62,-421.7532823463431
63,-748.6646800993565
64,-657.1952716803688
65,-425.994615194206
66,-482.7836568405917
67,-394.26291141131946
68,-366.91004115011447
69,-851.2999893395731
70,-595.1784422385107
71,-552.4897115398882
72,-607.2199514152487
73,-593.726637092601
74,-434.34408705458355
75,-629.4736978049074
76,-642.6222528585492
77,-370.2009597850467
78,-23.971035914931235
79,-368.4161505931912
80,-789.4696122456298
81,-493.3110646939049
82,-635.273943551649
83,-584.9412732471318
84,-357.6958902553969
85,-369.5114828361345
86,-418.6344155765728
87,-406.04525095352136
88,-666.488895457235
89,-343.7564672049533
90,-690.4597119612789
91,-496.5035970633455
92,-651.7704049872285
93,-456.9000168570672
94,-454.2825093121815
95,-701.2216746196109
96,-722.5097821787538
97,-480.81848997436975
98,-480.1509557881485
99,-27.377814058995796
100,-465.52225401633194
101,-618.6592077204547
102,-655.992361388343
103,-982.7328888600863
104,-704.8088131010783
105,-825.7447332924593
106,-588.5697576046067
107,-613.4492549358501
108,-594.2863888387903
109,-451.84828420806554
110,-739.1652983715195
111,-704.0110245281967
112,-716.277552761925
113,-685.2997806674213
114,-601.6252621782195
115,-679.4316831081434
116,-707.4116398953022
117,-803.8283819116891
118,-36.058948153790425
119,-694.8684018552021
120,-355.84481689330084
121,-588.2289712178834
122,-480.96902741061797
123,-445.6438567387188
124,-726.619357798284
125,-381.82779162371
126,-654.5467035405517
127,-696.7847339075003
128,-703.1426045331252
129,-713.4644570019053
130,-697.5169703563467
131,-634.0976824389306
132,-393.5178036396086
133,-784.9908170938455
134,-409.129424062974
135,-565.039274554809
136,-920.2125017066548
137,-719.6122816491231
138,-585.7429046302964
139,-487.4638313937023
140,-697.0611515883862
141,-379.2692355952831
142,-543.8421027691916
143,-559.2818628825133
144,-701.4547504495231
145,-359.3527071545467
146,-844.9878568841955
147,-696.5064328349558
148,-395.3515091696469
149,-713.683569892007
150,-382.8209834222355
151,-857.5475991125566
152,-683.8767383632907
153,-694.5929877819443
154,-679.9311675408667
155,-642.9767393023833
156,-507.76679384986085
157,-594.8178334900583
158,-371.27679111630874
159,-703.5180182903068
160,-369.9456791409234
161,-497.3342112266739
